Name,Niche,Location,Audience Size,Bio,Match Score
Rohit Verma,Technology,Bengaluru,80000,Tech reviewer demystifying gadgets and AI for everyday users.,34.9
Siddhant Jain,Business,Gurgaon,130000,Entrepreneur giving startup advice and productivity hacks.,31.7
Akash Yadav,Fitness,Chandigarh,70000,Gym trainer sharing HIIT workouts.,19.6
Gaurav Mehra,Finance,Pune,90000,Stock market educator for young investors.,17.3
Sanjay Rao,Technology,Hyderabad,60000,Tech geek coding Python tutorials.,16.8
Meenal Joshi,Sustainability,Jaipur,40000,Eco-warrior teaching zero-waste hacks.,15.5
Lata Gupta,DIY & Crafts,Kanpur,35000,Craft creator teaching DIY home projects.,15.2
Vikram Singh,Fitness,Delhi,95000,Fitness coach promoting strength training and yoga.,13.9
Rakesh Yadav,Fitness,Nagpur,75000,Fitness trainer focusing on calisthenics for beginners.,11.7
Sana Khan,Beauty,Hyderabad,180000,Beauty guru focusing on affordable makeup and skincare.,11.5
